incentive_id,title,company_1,company_2,company_3,company_4,company_5
1060,Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM,"THE FUTURE IS SMART, LDA","IMAGEM DIGITAL URBE, LDA","CÓDIGO INTELIGENTE, LDA","DATAHOW - SOLUÇÕES DE INTELIGÊNCIA ARTIFICIAL, UNIPESSOAL, LDA","DIGITALHOME, LDA"
3406,Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos,"ECCLESIALIS - GESTÃO DIOCESANA, UNIPESSOAL, LDA","CASA DA IGREJA, LDA","CIVILCAT, UNIPESSOAL, LDA","CAPITAL IMÓVEIS JESUITA, UNIPESSOAL, LDA","SANTA CATARINA - SOCIEDADE IMOBILIÁRIA, S.A."
972,Cessação temporária das atividades de pesca - Embarcações de cerco - Região Autónoma da Madeira,"SERPESCAS, LDA","PESCAMARTA, UNIPESSOAL, LDA","SEMPRE NO LEME - UNIPESSOAL, LDA","PESCAFIXE, UNIPESSOAL, LDA","FISH POINT, UNIPESSOAL, LDA"
2616,Grandes projectos de investimento - Região Autónoma dos Açores - Dedução de uma determinada percentagem das aplicações relevantes do projeto de investimento efetivamente realizadas no período de tributação,"AMAZING AZORES PROPERTIES - INVESTIMENTOS E GESTÃO DE PATRIMÓNIO, LDA","LAND BREEZE - INVESTIMENTOS IMOBILIÁRIOS, UNIPESSOAL, LDA","INVESTIMENTOS AS AZENHAS, LDA","AÇORESPOC, LDA","P.N. AZORES, SOCIEDADE POR QUOTAS, LDA"
1152,Saúde - cuidados saúde primários (IT),"CUIDADOS 365 - CUIDADOS DE SAÚDE, LDA","CAMINHOS DA SAÚDE - CUIDADOS MÉDICOS, LDA","DOMINGOS CUNHA, CUIDADOS DE SAÚDE, LDA","COSTUMES PRIMORDIAIS, LDA","SÃO CUIDADOS - ESPAÇO SAÚDE, LDA"
1149,"Mobilidade a Pedido (IT)
","GET YA, UNIPESSOAL, LDA","VIAMOVE - SOLUÇÕES DE MOBILIDADE, LDA","RITMOS RECENTES, UNIPESSOAL, LDA","OPENMOBI PORTUGAL, UNIPESSOAL, LDA","MOBILYTÁXI, UNIPESSOAL, LDA"
1061,SIID - I&D Empresarial - Proteção da propriedade intelectual e industrial,"ARLINDO DE SOUSA - MARCAS E PATENTES, LDA","FURTADO - MARCAS E PATENTES, S.A.","MARQUESMARCAS - CONSULTADORIA DE MARCAS E PATENTES, LDA","MPD - MARCAS E PATENTES NA DISTRIBUIÇÃO, SOCIEDADE, UNIPESSOAL, LDA","INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL, I.P."
1062,SIID – I&D Empresarial - Operações Individuais ou em Copromoção – Roteiros Tecnológicos Big Science,"LIGO, TECNOLOGIAS INTELIGENTES, LDA","SCITEPRESS - SCIENCE AND TECHNOLOGY PUBLICATIONS, LDA","SCOTTY TECHNOLOGIES, UNIPESSOAL, LDA","X2 - SCIENCE SOLUTIONS, LDA","MOLECULE MESSAGE, UNIPESSOAL, LDA"
977,SACCCT - Proteção da propriedade intelectual e industrial,"INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL, I.P.","MPD - MARCAS E PATENTES NA DISTRIBUIÇÃO, SOCIEDADE, UNIPESSOAL, LDA","ELITE LUXURY BRANDS, UNIPESSOAL, LDA (ZONA FRANCA DA MADEIRA)","ARLINDO DE SOUSA - MARCAS E PATENTES, LDA","FURTADO - MARCAS E PATENTES, S.A."
1066,Gestão de água e conservação de recursos hídricos,"ÁGUA NEGRA - GESTÃO DE RECURSOS NATURAIS, LDA","ÁGUAS PÚBLICAS DA SERRA DA ESTRELA, EIM, S.A.","HOH - VALORIZAÇÃO DE RECURSOS HIDRICOS, LDA","A.D.C. - ÁGUAS DA COVILHÃ, E.M.","BE WATER, S.A."
